lambda,lambda_label,gamma,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_final_integrated_score,min_final_integrated_score,max_final_integrated_score,mean_recommended_speed_multiplier,note
3,3,0,25,16,0,16,0.0,-10.45,-16.03,-2.37,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,0,16,16,0,100.0,15.77,9.98,23.34,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,2,16,16,0,100.0,13.5,7.7,21.06,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,4,16,16,0,100.0,11.23,5.43,18.79,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,6,16,16,0,100.0,8.97,3.15,16.51,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,8,16,16,0,100.0,6.7,0.87,14.23,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,10,16,15,1,93.75,4.44,-1.4,11.96,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,12,16,11,5,68.75,2.17,-3.68,9.68,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,15,16,8,8,50.0,-1.23,-7.1,6.26,0.83,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,20,16,1,15,6.25,-6.89,-12.79,0.57,0.88,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,0.5,25,16,0,16,0.0,-12.56,-18.48,-5.12,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,0,16,16,0,100.0,13.66,7.17,20.59,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,2,16,16,0,100.0,11.39,4.89,18.31,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,4,16,16,0,100.0,9.13,2.62,16.04,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,6,16,16,0,100.0,6.86,0.34,13.76,0.78,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,8,16,14,2,87.5,4.59,-1.94,11.48,0.79,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,10,16,10,6,62.5,2.33,-4.21,9.21,0.81,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,12,16,8,8,50.0,0.06,-6.49,6.93,0.83,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,15,16,3,13,18.75,-3.34,-9.91,3.51,0.87,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,20,16,0,16,0.0,-9.0,-15.6,-2.18,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
3,3,1,25,16,0,16,0.0,-14.67,-21.29,-7.87,0.89,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
